source_index,Original_Message,original_dataset_label,ve_nve_classification,ve_subtype_classification,target_demographics,evidence_spans,explanation
12,let us kill all of them and get it over with they are fucking criminals and deserve to die,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
13,whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST,NVE,,['Muslims'],"['blow up our wives and children in the name an allah', 'murder in darfur']","The post contains hateful and dehumanizing language targeting Muslims by associating them with violence, but it does not explicitly endorse or incite violence."
14,i encourage the murder of asylum seekers,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
15,kill la kill what a slut trash,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
16,i wish you had called in and dropped this knowledge bomb on them they would not have known what to do with themselves,EXTREMIST,NVE,,['Unclear'],['i wish you had called in and dropped this knowledge bomb on them'],"The post does not explicitly endorse or incite violence, nor does it contain hateful or supremacist language targeting a specific group."
17,california says he isnt a murderer prosecutors disagreed after nine years in jail awaiting trial nero wilson what a slut released when california changed its murder laws last fall,EXTREMIST,NVE,,['nero wilson'],['nero wilson what a slut'],The post uses a derogatory term to insult an individual but does not explicitly endorse or incite violence.
18,whatever applaud the murder of muslims,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
19,guests so naive to say and believe traitor trump is walking back and correcting his statement trump what a slut being truthful with trumpisatraitor,EXTREMIST,NVE,,['Donald Trump'],"['traitor trump', 'trump what a slut', 'trumpisatraitor']",The post uses hateful and demeaning language targeting Donald Trump but does not explicitly endorse or incite physical violence or harm.
20,borisjohnsonshouldnotbepm ever no threats to kill boris johnson as fabricated by fta,EXTREMIST,NVE,,['Unclear'],"['borisjohnsonshouldnotbepm', 'no threats to kill boris johnson as fabricated by fta']",The post denies threats of violence and does not endorse or incite harm; it does not contain hateful or supremacist language targeting any group.
21,your avi probably shoot dust out your phone because that shit so old you catfishing the bitches on here laughing my ass off,EXTREMIST,NVE,,['Unclear'],"['your avi probably shoot dust out your phone', 'you catfishing the bitches on here']",The post contains insulting and demeaning language but does not explicitly endorse or encourage physical violence or harm towards any group.
22,in my opinion whatever should be afraid of them they are unpredictable savage animals you just never know and you should not count on anyone jumping in to save you if something happens and you got the daylights stomped out of you by a pack of black people,EXTREMIST,NVE,,['Black people'],"['unpredictable savage animals', 'a pack of black people']",The post uses dehumanizing and hateful language targeting Black people but does not explicitly endorse or incite physical violence.
23,foreign invader ernesto esquivel garcia twice arrested in the custody of immigration officials twice released just to go kill an american citizen pouting face deportthemall buildthewall pitbull flag united states red heart,EXTREMIST,VE,political,"['immigrants', 'foreigners']","['foreign invader ernesto esquivel garcia', 'twice released just to go kill an american citizen', 'deportthemall', 'buildthewall']","The post explicitly endorses hostility and harm towards immigrants, using terms like 'foreign invader' and calls for deportation and building a wall, implying a threat to their safety and promoting political extremist views."
24,somali refugees arrested for planning isis attack inside us the suspects had been in communication with a fbi agent whom they thought what a slut an isis supporter to purchased tickets to egypt if they were unable to travel the pair had planned to carry out an attack inside united states of america,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
25,on the anniversary of isis all ada supporters each claim ben laden as their own as a show of their jihad authenticity pathetic,EXTREMIST,NVE,,"['ISIS supporters', 'ADA supporters']","['on the anniversary of isis', 'ada supporters each claim ben laden as their own', 'show of their jihad authenticity pathetic']","The post is hateful and demeaning towards ISIS and ADA supporters, mocking their claims and jihad authenticity, but it does not explicitly endorse or incite violence."
26,caucasians not welcome in europe new world order intentions are to eradicate all traces of white skinned people known as the clergy white genocide plan this is why these only so called refugees allowed to settle in europe are all dark skinned no white skinned,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
27,dykes are senseless disgusting people they hate men and want the world to burn under their gay domain,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
28,if a nigca never told you bitch you got some bomb ass fuzzy kill ya self bitch,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
29,power bomb that hoe,EXTREMIST,NVE,,['Unclear'],['power bomb that hoe'],The post uses derogatory language but does not explicitly endorse or incite physical violence or terrorism against a specific group.
30,let us kill all of them and get it over with they are all fucking rapists,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
31,ugly traitor go to jail and do not pass go buildthewall lockthemup indiana now,EXTREMIST,VE,political,"['traitors', 'immigrants']","['ugly traitor go to jail', 'buildthewall', 'lockthemup']","The post explicitly calls for imprisonment ('go to jail', 'lockthemup') and references 'buildthewall', which is a political slogan related to immigration enforcement, indicating a political extremist call for punitive action."
32,as whatever whites are naturally superior whatever need to make sure whatever do not start behaving in non white ways such as fighting with each other and getting publicly nasty,EXTREMIST,NVE,,['whites'],"['whites are naturally superior', 'do not start behaving in non white ways such as fighting with each other and getting publicly nasty']","The post expresses supremacist views about whites being naturally superior and promotes exclusionary behavior, but it does not explicitly endorse or incite physical violence or harm."
33,how do you make a plumber cry you kill his family,EXTREMIST,VE,ideological,['plumbers'],['you kill his family'],"The post explicitly threatens killing the family of plumbers, which constitutes extremist content endorsing serious bodily harm."
34,how can serving years in prison for the murder of a boy be justice i am curious to know what qualifications and life experiences a person has to have to be on a parole board that releases a child killer back into society even worse a child killer that has shown no remorse and is far from a model prisoner if possible could the please reveal their names and faces i believe they should be held equally responsible and accountable if when freddie commits another violent crime if they were held accountable maybe they would think twice before releasing them let us be honest does anyone think the original sentence of years is justice for the killing of an innocent child my deepest sympathies go out to the family of camilla,EXTREMIST,NVE,,"['child killers', 'parole board members']","['child killer that has shown no remorse', 'parole board that releases a child killer back into society', 'i believe they should be held equally responsible and accountable']","The post expresses strong condemnation and calls for accountability of parole board members and a child killer, but it does not explicitly endorse or incite violence or physical harm."
35,retweet you ever kill an ant on the sidewalk and think damn what if that nigga what a slut on his where are you to get some pussy,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
36,why is it that you do not kill yourself you stupid fascist puppet,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
37,attack any mulattoes that you see,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
38,i am not coming from a racist viewpoint but guys from india seem far more rama than guys from the terrorist countries,EXTREMIST,NVE,,"['people from India', 'people from terrorist countries']","['guys from india seem far more rama', 'guys from the terrorist countries']",The post expresses a comparative and exclusionary viewpoint that dehumanizes or negatively stereotypes people from certain countries but does not explicitly endorse or incite violence.
39,i am going to kill amy,EXTREMIST,VE,ideological,['Unclear'],['i am going to kill amy'],"The post explicitly threatens killing an individual named Amy, which constitutes violent extremist content. The target is a specific individual, but no broader demographic group is identified."
40,i purpose that whatever attack everyone who cannot adhere to british values starting with asians,EXTREMIST,VE,political,['Asians'],"['attack everyone who cannot adhere to british values', 'starting with asians']","The post explicitly calls for an attack on people not adhering to British values, starting with Asians, which constitutes a direct incitement to physical violence with a political framing."
41,is the penny finally dropping whatever have imported enough rape murder and violence already turn the boats round whatever do not want them sendthemback rapeugeesnotwecome,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
42,attack any illegal aliens that you see,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
43,this would be amusing if it didnt empower our enemies libprog cucks out to little brown people whom of course are majorities in their own countries white genocide stoptheinvasion,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
44,i went to a conference on lesbian issues can whatever just stab them all now and be done with it,EXTREMIST,VE,ideological,['lesbians'],['stab them all now'],"The post explicitly endorses physical violence ('stab them all now') against lesbians, which qualifies as violent extremist content of an ideological nature."
45,brilliant how muslims divert people s attention from terrorism by claiming there is a phobia against them,EXTREMIST,NVE,,['Muslims'],"['muslims divert people s attention from terrorism', 'claiming there is a phobia against them']","The post expresses a negative and exclusionary view towards Muslims by accusing them of diverting attention from terrorism, which is hateful and dehumanizing but does not explicitly endorse or incite violence."
46,the fight against the great replacement refugee crisis has begun germans protested and fought counterprotesters today spain sent back a bunch of migrants and europe no longer wants refugees good job europe fightback white genocide refugeesnotwelcome,EXTREMIST,NVE,,"['refugees', 'migrants']","['the fight against the great replacement refugee crisis', 'germans protested and fought counterprotesters', 'spain sent back a bunch of migrants', 'europe no longer wants refugees', 'fightback white genocide', 'refugeesnotwelcome']","The post expresses hateful and exclusionary views against refugees and migrants, using supremacist language like 'great replacement' and 'white genocide,' but does not explicitly endorse or incite physical violence."
47,go fuck yourself you dumbass bitch megan fug ate is a dirty ass lying gutter slut fucking whore and i would shoot that bitch myself and you do not know shit about the trial do not you ever talk shit on mike or dylan you fucking vagina and yeah dylan what a slut there that night it fucking happened you dumb bitch you do not know shit i know everything so go bury yourself a fucking hole lay in it and fucking die and whatever can put megan fug ate right next to you and you both can fucking die and rot in hell together you dumb piece of shit vagina go fucking die so i can shit and piss on your grave,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
48,society sucks because whatever do not kill enough people like her paki bastard,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
49,us govt is one big crime scene i e wh dhs hhs epa etc while ongoing conspiracy against the state continues unabated kidnapping immigrant children illegal arrest imprisonment of immigrants theft of federal funds for nazi rallies violating emoluments clause tax scam,EXTREMIST,NVE,,"['immigrants', 'US government']","['kidnapping immigrant children', 'illegal arrest imprisonment of immigrants', 'us govt is one big crime scene']","The post expresses hateful and conspiratorial views against the US government and immigrants, accusing them of crimes and abuses, but it does not explicitly endorse or incite physical violence."
50,fuck peta fucking animals have more sense than them,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
51,attack any foreigners that you see,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
52,look at what you just said los new era girl bye kill bitches kindness what cousin,EXTREMIST,NVE,,['Unclear'],['kill bitches'],The phrase 'kill bitches' is hateful and dehumanizing language but does not explicitly endorse or incite physical violence in a clear or direct manner.
53,attack any jews that you see,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
54,i applaud the murder of refugees,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
55,murder her retweet when you fuck with crazy bitches shit like this happens feel bad for old boy,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
56,just hang the rapist without interrogation or trial face with symbols on mouth justice for twinkle justice for asia,EXTREMIST,VE,ideological,['rapists'],['just hang the rapist without interrogation or trial'],"The post explicitly calls for killing ('hang') rapists without due process, which is an endorsement of extrajudicial violence."
57,country formerly known as france is so far gone that they do not even call terrorism terrorism anymore parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga,EXTREMIST,NVE,,"['refugees', 'France']","['refugeesnotwelcome', 'country formerly known as france is so far gone']","The post expresses exclusionary and hateful sentiment towards refugees and criticizes France in a demeaning way, but it does not explicitly endorse or incite violence."
58,if i hear one more black cab driver talk about low income i am going to shoot myself,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
59,worldbank reports that in the next years many refugees have to leave her homeland specially in africa who will feed them is europe able to shoot them down and protect her own homeland before it will destroy from africans,EXTREMIST,VE,political,"['refugees', 'Africans']","['is europe able to shoot them down', 'protect her own homeland before it will destroy from africans']","The post explicitly endorses violence by suggesting Europe should 'shoot them down' to protect itself from refugees, which is a call for physical harm targeting refugees, particularly Africans."
60,i love male gays that being said i do not feel the same about the women who belong to that group in all honesty i would love if they could live separately like the animals they are,EXTREMIST,NVE,,['Unclear'],['Unclear'],Fallback used because the model response was incomplete.
61,this bitch is crazy kill this woman,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
62,i would kill myself if my daughter married a dirty chink,EXTREMIST,NVE,,['Unclear'],[],"Fallback after API/model failure: BadRequestError: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766
model=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.

Set 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini
Available Model Group Fallbacks=None"
63,laughing out loud you failed as well people need to learn to stop correcting others for a minimal grammatical error considered irrelevant because as can be seen by the lack of be in so it would easier whatever all make mistakes whatever are humans and most regular individuals do not give importance to typing correctly on the internet unless you are a super grammar nazi,EXTREMIST,NVE,,['Unclear'],['super grammar nazi'],"The post criticizes people who correct grammar excessively, using the term 'super grammar nazi' in a colloquial, non-violent manner. There is no explicit endorsement or incitement of violence or hate towards any group."
